accountid,doc_number,po_number,id,actual_trans_ts,ea_abbrev,qty,item_code,description,containerid,Day,actual_weight,ea_width,ea_height,ea_depth,var0,cntrl,service_class_id
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40SP3C56CHA,SPREE CHARMING,170-20179,1,55.01,0,0,0,PCIU8473967,C000001085307,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40IM3B56RUS,IMPACT RUST,170-20179,1,56.87,0,0,0,PCIU8473967,C000001085297,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20179,1,50.96,0,0,0,PCIU8473967,C000001085387,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20179,1,49.98,0,0,0,PCIU8473967,C000001085364,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20179,1,55.88,0,0,0,PCIU8473967,C000001085362,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20179,1,48.45,0,0,0,PCIU8473967,C000001085363,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20179,1,53.91,0,0,0,PCIU8473967,C000001085393,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20179,1,49.1,0,0,0,PCIU8473967,C000001085536,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40SP3C56CHA,SPREE CHARMING,170-20178,1,64.3,0,0,0,PCIU8473967,C000001085304,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40BR3B55GOS,BRIO GOSSAMER,170-20178,1,43.85,0,0,0,PCIU8473967,C000001085312,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40IM3B56OCH,IMPACT OCHRE,170-20178,1,46.15,0,0,0,PCIU8473967,C000001085318,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20178,1,50.31,0,0,0,PCIU8473967,C000001085531,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40IN7C57JET,INFINITY JET,170-20178,1,49.87,0,0,0,PCIU8473967,C000001085303,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20178,1,53.7,0,0,0,PCIU8473967,C000001085392,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20178,1,49.1,0,0,0,PCIU8473967,C000001085391,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20178,1,55.01,0,0,0,PCIU8473967,C000001085390,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40IM3B56DAN,IMPACT DANUBE,170-20178,1,51.73,56,0,0,PCIU8473967,C000001085287,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20177,1,48.99,0,0,0,PCIU8473967,C000001085530,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40IM3B56RUS,IMPACT RUST,170-20177,1,55.88,0,0,0,PCIU8473967,C000001085293,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40BR3B55GOS,BRIO GOSSAMER,170-20177,1,45.38,0,0,0,PCIU8473967,C000001085310,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20177,1,49.76,0,0,0,PCIU8473967,C000001085394,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20177,1,49.98,0,0,0,PCIU8473967,C000001085365,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20177,1,49.43,0,0,0,PCIU8473967,C000001085359,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40SP3C56CHA,SPREE CHARMING,170-20177,1,53.59,0,0,0,PCIU8473967,C000001085305,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20177,1,49.76,0,0,0,PCIU8473967,C000001085370,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56AIR,NOTION AIRSTREAM,170-20177,1,48.99,0,0,0,PCIU8473967,C000001085528,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,50.63,0,0,0,PCIU8473967,C000001085376,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,44.62,0,0,0,PCIU8473967,C000001085377,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,46.59,0,0,0,PCIU8473967,C000001085382,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,46.7,0,0,0,PCIU8473967,C000001085383,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,51.29,0,0,0,PCIU8473967,C000001085379,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,48.88,0,0,0,PCIU8473967,C000001085381,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,47.46,0,0,0,PCIU8473967,C000001085367,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20176,1,53.04,0,0,0,PCIU8473967,C000001085540,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20176,1,51.4,0,0,0,PCIU8473967,C000001085357,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20AF3F57TEA,AFFECTION TEAROSE,170-20175,1,67.91,57,0,0,PCIU8473967,C000001085251,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,54.68,0,0,0,PCIU8473967,C000001085273,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,59.93,0,0,0,PCIU8473967,C000001085272,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,56.32,0,0,0,PCIU8473967,C000001085258,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,55.01,0,0,0,PCIU8473967,C000001085261,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20AF3F57ALA,AFFECTION ALABASTER,170-20175,1,73.16,57,0,0,PCIU8473967,C000001085235,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,53.7,0,0,0,PCIU8473967,C000001085266,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,63.54,0,0,0,PCIU8473967,C000001085276,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20TE3E59BLU,Tess Bluefin (F),170-20175,1,75.13,0,0,0,PCIU8473967,C000001085270,4
